"#2dc937","rgb(45,201,55)","GREEN🚦⼢","$trafficLightGREEN"
"#e7b416","rgb(231,180,22)","YELLOW🚦","$trafficLightYELLOW"
"#db7b2b","rgb(219,123,43)","ORANGE🚦","$trafficLightORANGE"
"#cc3232","rgb(204,50,50)","RED🚦🛑","$trafficLightRED"
"#593215","rgb(89,50,21)","brown LEATHER","$leatherBROWN"
"#884E1F","rbg(136,78,31)","brown natural PAPER","$naturalBrownPAPER"
"#BF985A","rbg(191,152,90)","light tan PAPER","$lightTanPAPER"
"#D7D8D9","rgb(215,216,217)","warm light GREY","$lightGREY"
"#292929","rgb(41,41,41)","charcoal GREY","$charcoalGREY"
"#2D2D2D","rgb(45,45,45)","dark GREY","$darkGREY"
"#04460E","rgb(4,70,14)","Robin Hood Sherwood forest GREEN🌳","$RobinHoodSherwoodForestGREEN"
"#880808","rgb(136,8,8)","Roman Legionary RED","$RomanLegionaryRED"
"#712620","rgb(113,38,32)","Scutum shield CRIMSON","$RomanLegionaryScutumShieldCRIMSON"
"#2F4A9F","rgb(47,74,159)","Roman Naval dark BLUE","$RomanNavalBLUE"
"#C99028","rgb(201,144,40)","Roman Republic rich GOLD🥇","$RomanRepublicRichGOLD"
"#45228F","rgb(69,34,143)","Roman Senatorial Patrician Prætorian PURPLE🟣","$RomanPatricianPURPLE"
"#66023C","rgb(102,2,60)","Tyrian dye PURPLE🟪","$TyrianPURPLE"
"#442486","rgb(68,36,134)","Obsidian PURPLE","$ObsidianPURPLE"
"#00414B","rgb(0,65,75)","cool ocean blue","$OceanBlue"
"#4B3000","rgb(75,48,0)","split-complementary contrast to $OceanBlue","$BronzeCOIN"
"#001C4B","rgb(0,28,75)","analogous soothing palette to $OceanBlue","$OxfordBlue"
"#004B30","rgb(0,75,48)","analogous soothing palette to $OceanBlue","$BritishRacingGreen"
"#155370","rgb(21,83,112)","medium cool blue","$AtlanticBlue"
"#705F15","rgb(112,95,21)","split-complementary contrast to $AtlanticBlue","$antiqueBronze"
"#003C5F","rgb(0,60,95)","darkish blue","$deepOceanBlue"
"#5F2300","rgb(95,35,0)","contrasting complement to $deepOceanBlue","$sealBrown"
"#002B4D","rgb(0,43,77)","darker blue","$darkOceanBlue"
"#4D2200" "rgb(77,34,0)", "contrasting complement to $darkOceanBlue", "$FrenchPuce"
"#485479", "rgb(72,84,121)", "a deep blue", "$indigoOcean"
"#796D48", "rgb(121,109,72)", "contrasting complement to $indigoOcean", "$boyRed"
